"Player","Show","Role","Oneshot","Link"
"Jeremy Crawford","Acquisitions Incorporated","DM","","https://www.acq-inc.com/"
"Chris Perkins","Acquisitions Incorporated","DM","","https://www.acq-inc.com/"
"Mike Krahulik","Acquisitions Incorporated","Player","","https://www.acq-inc.com/"
"Anna Prosser","Acquisitions Incorporated","Player","","https://www.acq-inc.com/"
"Patrick Rothfuss","Acquisitions Incorporated","Player","","https://www.acq-inc.com/"
"Morgan Webb","Acquisitions Incorporated","Player","","https://www.acq-inc.com/"
"Xavier Woods","Acquisitions Incorporated","Player","","https://www.acq-inc.com/"
"Scott Kurtz","Acquisitions Incorporated","Player","","https://www.acq-inc.com/"
"Wil Wheaton","Acquisitions Incorporated","Player","","https://www.acq-inc.com/"
"Holly Conrad","Acquisitions Incorporated","Player","","https://www.acq-inc.com/"
"Trystan Falcone","Acquisitions Incorporated","Player","","https://www.acq-inc.com/"
"Kate Welch","Acquisitions Incorporated","Player","","https://www.acq-inc.com/"
"Kris Straub","Acquisitions Incorporated","Player","","https://www.acq-inc.com/"
"Ryan Hartman","Acquisitions Incorporated","Player","","https://www.acq-inc.com/"
"Kate Welch","Acquisitions Incorporated","Player","","https://www.acq-inc.com/"
"Kris Straub","Acquisitions Incorporated","Player","","https://www.acq-inc.com/"
"Ryan Hartman","Acquisitions Incorporated","Player","","https://www.acq-inc.com/"
"Trystan Falcone","Acquisitions Incorporated","Player","","https://www.acq-inc.com/"
"Jerry Holkins","Acquisitions Incorporated","Player","","https://www.acq-inc.com/"
